"handle","title","risk_flags","severity","disposition","reason","required_evidence"
"summer-mens-mj-michael-jackson-printed-100-cottonneutral-o-neck-short-sleeve-mens-and-womens-fashion-hip-hop-t-shirt-fan-gift","Summer Men's MJ Michael Jackson Printed 100%CottonNeutral","likely_ip","hard_hold","HOLD_CONTENT_COMPLIANCE_REVIEW","Celebrity name, likeness, and fan-merchandising rights are not verified.","Documented authorization or licensed supplier provenance; otherwise reject."
"nail-glue-phototherapy-pen-uv-gel-brush-pen-acrylic-nail-art-painting-drawing-liner-brush-manicure-professionnel-brushes-tool","Nail Glue Phototherapy Pen UV Gel Brush Pen Acrylic Nail Art Painting Drawing Liner Brush Manicure Professionnel Brushes Tool","hygiene_beauty;chemical_cosmetic","hard_hold","HOLD_CONTENT_COMPLIANCE_REVIEW","Title implies nail adhesive/UV-gel use; composition, labeling, and safe-use evidence are absent.","Supplier ingredient/SDS and compliant labeling evidence, or confirmed non-chemical brush-only mapping."
"women-fake-piercing-nose-ring-hoop-septum-piercing-nose-clip-rock-hiphoop-stainless-steel-magnet-fashion-body-jewelry-wholesale","Women Fake Piercing Nose Ring Hoop Septum Piercing Nose Clip Rock HipHoop Stainless Steel Magnet Fashion Body Jewelry Wholesale","hygiene_beauty","content_hold","HOLD_CONTENT_COMPLIANCE_REVIEW","Body-contact jewelry material and skin-contact claims are not verified.","Material composition, nickel/heavy-metal compliance evidence, and cleaned customer-facing content."
"15cm-womens-rabbit-fur-keychain-bag-car-pendant-jewelry-decoration-fashionable-accessory-for-bags-and-gifts","15cm Women's Rabbit Fur Keychain Bag Car Pendant Jewelry Decoration Fashionable Accessory for Bags And Gifts","animal_derived","content_hold","HOLD_CONTENT_COMPLIANCE_REVIEW","Real-fur material claim creates sourcing, disclosure, and destination-market review requirements.","Verified material/species origin, lawful sourcing/import evidence, and accurate disclosure; otherwise reject."
"pet-supplies-duck-goose-shoes-pet-cole-foot-poultry-boots-pet-duck-boots-with-protective-soles-protective-shoe-set-pet-products","Pet Supplies Duck Goose Shoes Pet Cole Foot Poultry Boots Pet Duck Boots with Protective Soles Protective Shoe Set Pet Products","animal_welfare","content_hold","HOLD_CONTENT_COMPLIANCE_REVIEW","Animal-fit and safe-use evidence is absent for poultry footwear.","Species-specific sizing, material, supervision, and welfare/safe-use evidence before reconsideration."
"new-heated-rivalry-hockey-jersey-long-sleeves-tee-mens-womens-rozanov-hollander-t-shirt-unisex-tops-pullovers","New Heated Rivalry Hockey Jersey Long Sleeves Tee Men's","likely_ip","hard_reject","REJECT_CONTENT_COMPLIANCE","The title and variant mapping reference Heated Rivalry characters Rozanov and Hollander; licensed merchandising rights are not documented.","Keep Draft and excluded; reconsider only with documented licensed supplier provenance."
"halloween-elsa-dress-for-girls-children-party-princess-costume-kids-disguise-with-long-cloak-girl-snow-queen-carnival-clothes","Halloween Elsa Dress for Girls Children Party Princess Costume Kids Disguise with Long Cloak Girl Snow Queen Carnival Clothes","likely_ip;child_product_safety","hard_reject","REJECT_CONTENT_COMPLIANCE","The listing explicitly uses the protected Elsa character name and no licensed supplier provenance is documented.","Keep Draft and excluded; reconsider only with documented licensed supplier provenance and children's apparel compliance evidence."
"300-280-200-100pcs-washer-copper-sealing-solid-gasket-washer-sump-plug-oil-for-boat-crush-flat-seal-ring-tool","300/280/200/100Pcs Washer Copper Sealing Solid Gasket Washer Sump Plug Oil For Boat Crush Flat Seal Ring Tool","","cleared_for_quote","CLEARED_TO_QUOTE","The electrical flag was a false positive caused by the mechanical phrase sump plug; this is a non-powered copper washer assortment.","Quote Canada and US, verify material/dimensions and fitment copy, then apply the normal margin gate."
"kids-toddler-foot-measure-gauge-shoes-size-measuring-ruler-tool-baby-boy-girl-childrens-foot-length-measuring-ruler-fittings","Kids Toddler Foot Measure Gauge Shoes Size Measuring Ruler Tool Baby Boy Girl Children's Foot Length Measuring Ruler Fittings","child_content","cleared_for_quote","CLEARED_TO_QUOTE","This is a non-powered measuring ruler, not protective or medical equipment; the generic child keyword alone does not justify a hard safety hold.","Quote Canada and US, verify measurement scale/accuracy and age-appropriate copy, then apply the normal margin gate."
"summer-spring-candy-color-kids-pantyhose-ballet-dance-tights-for-girls-stocking-children-velvet-solid-white-pantyhose","Summer Spring Candy Color Kids Pantyhose Ballet Dance Tights for Girls Stocking Children Velvet Solid White Pantyhose","child_apparel","cleared_for_quote","CLEARED_TO_QUOTE","Ordinary children's apparel was overclassified as a hard safety product solely from child keywords.","Quote Canada and US; before activation verify fiber content, sizing, care, origin, and applicable children's textile labeling."
"windproof-infant-stroller-gloves-childrens-outdoor-sports-mittens-cartoon-printed-hands-warmer-scooter-accessory-for-winter","Windproof Infant Stroller Gloves Children's Outdoor Sports Mittens Cartoon Printed Hands Warmer Scooter Accessory for Winter","child_apparel","cleared_for_quote","CLEARED_TO_QUOTE","The mapped product is apparel/accessory rather than an anti-fall, medical, or powered child-safety device.","Quote Canada and US; verify material, sizing, attachment design, warnings, and textile labeling before activation."
"new-girl-dresses-princess-costume-kids-mermaid-cosplay-costume-kids-carnival-birthday-party-prom-costume-party-dresses-for-girls","New Girl Dresses Princess Costume Kids Mermaid Cosplay Costume Kids Carnival Birthday Party Prom Costume Party Dresses For girls","child_apparel","cleared_for_quote","CLEARED_TO_QUOTE","The generic mermaid/princess costume has no explicit protected character reference in the title; child keywords alone do not justify a hard hold.","Quote Canada and US; verify textile composition, sizing, flammability/labeling evidence, and remove ambiguous cosplay claims before activation."
"1-20packs-100pcs-pack-wooden-sticks-baby-cotton-swabs-cleaning-of-ears-tampons-health-beauty-cotton-swab-cleaning-cotton-buds","1-20Packs 100Pcs/Pack Wooden Sticks Baby Cotton Swabs Cleaning of Ears Tampons Health Beauty Cotton Swab Cleaning Cotton Buds","child_safety;medical_health;hygiene_beauty","hard_reject","REJECT_CONTENT_COMPLIANCE","The listing promotes insertion/cleaning around babies' ears without verified medical-device, material, sterility, warning, or labeling evidence.","Keep Draft and excluded; reconsider only with complete supplier compliance documentation and legally reviewed claims."
"rhinitis-nasal-irrigator-washing-for-children-silicone-baby-nasal-aspirator-syringe-baby-nose-cleaner-kids-nasal-washer-reusable","Rhinitis Nasal Irrigator Washing for Children Silicone Baby Nasal Aspirator Syringe Baby Nose Cleaner Kids Nasal Washer Reusable","child_safety;medical_health","hard_reject","REJECT_CONTENT_COMPLIANCE","The product makes rhinitis/nasal-treatment claims for babies and children without medical-device classification, material, cleaning, or labeling evidence.","Keep Draft and excluded; reconsider only after regulatory classification and complete supplier compliance documentation."
