"priority","workstream","title","status","launch_tag","variant_count","worst_canada_shipping_cap","risk_flags","decision","operator_next_action"
"10","B1_QUOTE_QUICK_WINS","Travel Pet Water Bottle","ACTIVE","yes","3","5.08","","LIVE_QUOTE_REQUIRED","Quote exact Canada delivery first; approve if shipping is at or below cap."
"10","B1_QUOTE_QUICK_WINS","Everyday Carabiner Clip Set","ACTIVE","yes","2","4.52","","LIVE_QUOTE_REQUIRED","Quote exact Canada delivery first; approve if shipping is at or below cap."
"10","B1_QUOTE_QUICK_WINS","Car Sun Visor Organizer","ACTIVE","yes","3","4.34","","LIVE_QUOTE_REQUIRED","Quote exact Canada delivery first; approve if shipping is at or below cap."
"10","B1_QUOTE_QUICK_WINS","Adjustable Rhinestone Ring","ACTIVE","yes","2","4.07","","LIVE_QUOTE_REQUIRED","Quote exact Canada delivery first; approve if shipping is at or below cap."
"10","B1_QUOTE_QUICK_WINS","Compact Bicycle Bell","ACTIVE","yes","6","3.77","","LIVE_QUOTE_REQUIRED","Quote exact Canada delivery first; approve if shipping is at or below cap."
"10","B1_QUOTE_QUICK_WINS","Long-Handle Bottle Brush","ACTIVE","yes","2","3.31","","LIVE_QUOTE_REQUIRED","Quote exact Canada delivery first; approve if shipping is at or below cap."
"10","B1_QUOTE_QUICK_WINS","Everyday Polarized Sunglasses","ACTIVE","yes","3","3.29","","LIVE_QUOTE_REQUIRED","Quote exact Canada delivery first; approve if shipping is at or below cap."
"10","B1_QUOTE_QUICK_WINS","Precision Nail Clippers","ACTIVE","yes","2","3.27","hygiene_beauty","LIVE_QUOTE_REQUIRED","Quote exact Canada delivery first; approve if shipping is at or below cap."
"10","B1_QUOTE_QUICK_WINS","Multi-Use Organizer Hooks","ACTIVE","yes","4","3.14","","LIVE_QUOTE_REQUIRED","Quote exact Canada delivery first; approve if shipping is at or below cap."
"20","B2_QUOTE_HIGH_VARIANT","Men's Cotton-Linen Wide-Leg Pants","ACTIVE","yes","100","4.14","","LIVE_QUOTE_REQUIRED","Quote worst-margin and top-selling option groups; reduce option complexity if needed."
"20","B2_QUOTE_HIGH_VARIANT","Everyday Performance Shorts","ACTIVE","yes","21","4.00","","LIVE_QUOTE_REQUIRED","Quote worst-margin and top-selling option groups; reduce option complexity if needed."
"20","B2_QUOTE_HIGH_VARIANT","Everyday Fleece Joggers","ACTIVE","yes","21","3.24","","LIVE_QUOTE_REQUIRED","Quote worst-margin and top-selling option groups; reduce option complexity if needed."
"20","B2_QUOTE_HIGH_VARIANT","Everyday Zip Hoodie","ACTIVE","yes","18","3.12","","LIVE_QUOTE_REQUIRED","Quote worst-margin and top-selling option groups; reduce option complexity if needed."
"20","B2_QUOTE_HIGH_VARIANT","Breezy Everyday Pants","ACTIVE","yes","28","3.10","","LIVE_QUOTE_REQUIRED","Quote worst-margin and top-selling option groups; reduce option complexity if needed."
"20","B2_QUOTE_HIGH_VARIANT","Men's High-Neck Knit Sweater","ACTIVE","yes","54","3.07","","LIVE_QUOTE_REQUIRED","Quote worst-margin and top-selling option groups; reduce option complexity if needed."
"20","B2_QUOTE_HIGH_VARIANT","Long-Sleeve Performance Tee","ACTIVE","yes","35","3.03","","LIVE_QUOTE_REQUIRED","Quote worst-margin and top-selling option groups; reduce option complexity if needed."
