subcategory,handle,title,current_productType,tags
"Intimate Massagers","elektra-app-controlled-e-stim-kegel-training-set","Elektra-App-Controlled E-Stim Kegel Training Set","Electronics & Accessories","intimate;intimate_massage;massage_collection:Intimate;smarttag_collection_new_arrivals;smarttag_promo_eligible;smarttag_regular_price;valentines"
"Intimate Massagers","enigma-wave-vibrator","Enigma Wave Intimate Massager","Health & Wellness","adult;all;free_ground_promo;gifts for him;gifts_for_her;intimate;intimate_massage;valentines"
"Intimate Massagers","infinity-rechargeable-massage-wand-grey-by-liberator","Infinity Rechargeable Intimate Massager","Health & Wellness","final_sale;intimate_collection;intimate_massage;luvu;massage_collection:Intimate;no-returns;no_returns;valentines"
"Intimate Massagers","the-naughty-collection-interchangeable-heads-vibrator","Interchangeable Heads Intimate Massager","Health & Wellness","intimate;intimate_massage;massage_collection:Intimate;smarttag_collection_new_arrivals;smarttag_promo_eligible;smarttag_regular_price;valentines"
"Intimate Massagers","lelo-backstage-pass-bundle","Lelo Backstage Pass Bundle","Health & Wellness","Bundle;electric_massagers;fitness_recovery:Massagers;Inc.;intimate_massage;massager;personal care;personal wellness"
"Intimate Massagers","lelo-ako-originals-purple","Lelo AKO Originals","Health & Wellness","all;category_new;clitoral;intimate;intimate_massage;new;vendor_Lelo;vendor_new"
"Intimate Massagers","lelo-couple-play-bundle","Lelo Couple Play Bundle","Toys & Games","Bundle;electric_massagers;final_sale;fitness_recovery:Massagers;intimate_massage;massager;personal care;personal wellness"
"Intimate Massagers","lelo-earl-luxury-intimate-massager","Lelo Earl Luxury Intimate Massager","Health & Wellness","anal vibrator;gold;intimate;intimate massager;intimate_collection;intimate_massage;massage_collection:Intimate"
"Intimate Massagers","lelo-dot-vibrator","Lelo DOT Intimate Massager","Health & Wellness","black_friday;final_sale;gifts_for_her;intimate;intimate_massage;massage_collection:Intimate;massage_collection:massage;valentines"
"Intimate Massagers","billy-2","Lelo Billy 2 Intimate Massager","Health & Wellness","all;BF24;CM24;free_ground_promo;intimate;intimate_massage;valentines;vendor_Lelo"
"Intimate Massagers","lelo-dot-cruise","Lelo DOT Cruise Intimate Massager","Health & Wellness","all;best seller;breast_cancer_pink;clit;clitoris;free_ground_promo;gifts_for_her;intimate"
"Intimate Massagers","enigma-cruise-massager","Lelo Enigma Cruise Intimate Massager","Health & Wellness","dual;enigma cruise;final_sale;intimate;intimate_massage;valentines;vendor_Lelo"
"Intimate Massagers","lelo-freshn-steamy-bundle","Lelo Fresh'n Steamy Bundle","Home & Kitchen","Bundle;electric_massagers;final_sale;fitness_recovery:Massagers;intimate_massage;massager;personal care;personal wellness"
"Intimate Massagers","gigi-2","Lelo Gigi 2 Intimate Massager","Health & Wellness","all;best_sellers;black_friday;breast_cancer_pink;free_ground_promo;intimate;intimate_massage;valentines"
"Intimate Massagers","lelo-her-delight-bundle","Lelo Her Delight Bundle","Health & Wellness","Bundle;electric_massagers;final_sale;fitness_recovery:Massagers;intimate_massage;massager;personal care;personal wellness"
"Intimate Massagers","ina-3","Lelo INA 3 Intimate Massager","Health & Wellness","adult;all;free_ground_promo;intimate;intimate_massage;new;valentines;vendor_Lelo"
"Intimate Massagers","lelo-hugo-2-prostate-massager","Lelo Hugo 2 Intimate Massager","Health & Wellness","all;breast_cancer_pink;clitoris;free_ground_promo;gifts_for_her;intimate;intimate_massage;valentines"
"Intimate Massagers","ida-wave-vibrator","Lelo IDA Wave Intimate Massager","Health & Wellness","final_sale;intimate;intimate_collection;intimate_massage;massage_collection:Intimate;no-returns;valentines"
"Intimate Massagers","lelo-hugo-2-prostate-massager-with-remote","Lelo Hugo 2 Intimate Massager with Remote","Health & Wellness","all;breast_cancer_pink;clitoris;free_ground_promo;gifts_for_her;intimate;intimate_massage;valentines"
"Intimate Massagers","lelo-inez-luxury-intimate-massager","Lelo Inez Luxury Intimate Massager","Health & Wellness","anal vibrator;gold;intimate;intimate massager;intimate_collection;intimate_massage;luxury"
"Intimate Massagers","lelo-intimina-kiri-personal-massager","Lelo Intimina Kiri Intimate Massager","Health & Wellness","BF24;body safe;category_new;CM24;intimate;intimate_massage;new;valentines"
"Intimate Massagers","lelo-intimina-kalia-personal-massager","Lelo Intimina Kalia Intimate Massager","Health & Wellness","adult toys for couples;BF24;category_new;CM24;intimate;intimate_massage;new;valentines"
"Intimate Massagers","ina-wave-2","Lelo INA Wave 2 Intimate Massager","Health & Wellness","adult;all;black_friday;free_ground_promo;intimate;intimate_massage;new;valentines"
"Intimate Massagers","liv-2","Lelo LIV 2 Intimate Massager","Health & Wellness","all;final_sale;free_ground_promo;intimate;intimate_massage;valentines;vendor_Lelo"
"Intimate Massagers","loki-wave-2-prostate-massager","Lelo Loki Wave 2 Intimate Massager","Health & Wellness","adult;all;free_ground_promo;gifts_for_her;intimate;intimate_massage;valentines"
"Intimate Massagers","loki-wave","Lelo Loki Wave Intimate Massager","Health & Wellness","all;final_sale;free_ground_promo;intimate;intimate_massage;valentines;vendor_Lelo"
"Intimate Massagers","lyla-2","Lelo Lyla 2 Intimate Massager","Health & Wellness","all;final_sale;free_ground_promo;gifts_for_him;intimate;intimate_massage;valentines;vendor_Lelo"
"Intimate Massagers","mona-wave","Lelo Mona Wave Intimate Massager","Health & Wellness","adult;all;best_sellers;dadsandgrads_2021;free_ground_promo;intimate;intimate_massage;new"
"Intimate Massagers","lelo-nea-originals-purple","Lelo NEA Originals","Health & Wellness","all;clitoral;intimate;intimate_massage;new;vendor_Lelo;vendor_new;wellness"
"Intimate Massagers","lelo-olga-luxury-intimate-massager","Lelo Olga Luxury Intimate Massager","Health & Wellness","anal vibrator;gold;intimate;intimate massager;intimate_collection;intimate_massage;luxury"
"Intimate Massagers","ora-3","Lelo ORA 3 Intimate Massager","Health & Wellness","adult;all;best seller;bullet;clitoral;free_ground_promo;intimate;intimate_massage"
"Intimate Massagers","lelo-party-in-the-back-bundle","Lelo Party In The Back Bundle","Health & Wellness","Bundle;electric_massagers;final_sale;fitness_recovery:Massagers;intimate_massage;massager;personal care;personal wellness"
"Intimate Massagers","lelo-powerhouse-bundle","Lelo Powerhouse Bundle","Health & Wellness","Bundle;electric_massagers;final_sale;fitness_recovery:Massagers;intimate_massage;massager;personal care;personal wellness"
"Intimate Massagers","sila","Lelo Sila Intimate Massager","Health & Wellness","2go;adult;all;breast_cancer_pink;dadsandgrads_2021;free_ground_promo;intimate;intimate_massage"
"Intimate Massagers","sila-cruise-massager","Lelo Sila Cruise Intimate Massager","Health & Wellness","final_sale;intimate;intimate_massage;lelo;massage_collection:Intimate;massage_type:Vibration;Men;vendor_Lelo"
"Intimate Massagers","lelo-ride-solo-bundle","Lelo Ride Solo Bundle","Health & Wellness","Bundle;electric_massagers;final_sale;fitness_recovery:Massagers;intimate_massage;massager;personal care;personal wellness"
"Intimate Massagers","smart-wand-2","Lelo Smart Wand 2 Intimate Massager","Health & Wellness","all;BF24;CM24;dadsandgrads_2021;free_ground_promo;handheld;intimate;intimate_massage"
"Intimate Massagers","smart-wand-2-medium","Lelo Smart Wand 2 Medium Intimate Massager","Health & Wellness","adult;all;best_sellers;BF24;black_friday;CM24;free_ground_promo;intimate"
"Intimate Massagers","sona-2-cruise","Lelo Sona 2 Cruise Intimate Massager","Health & Wellness","1;2go;adult;all;free_ground_promo;gifts_for_her;intimate;intimate_massage"
"Intimate Massagers","lelo-siri-3-intimate-massager","Lelo Siri 3 Intimate Massager","Health & Wellness","all;breast_cancer_pink;clitoris;free_ground_promo;gifts_for_her;intimate;intimate_massage;valentines"
"Intimate Massagers","lelo-sona-2-travel-intimate-massager","Lelo Sona 2 Travel Intimate Massager","Health & Wellness","adult;all;best_sellers;dadsandgrads_2021;free_ground_promo;intimate;intimate_massage;new"
"Intimate Massagers","sona-2","Lelo Sona 2 Intimate Massager","Health & Wellness","all;black_friday;final_sale;free_ground_promo;gifts_for_her;intimate;intimate_massage;vendor_Lelo"
"Intimate Massagers","sona","Lelo Sona Mini Intimate Massager","Health & Wellness","all;BF24;CM24;free_ground_promo;gifts_for_her;intimate;intimate_massage;valentines"
"Intimate Massagers","lelo-soraya-experince-bundle","Lelo Soraya Experience Bundle","Health & Wellness","Bundle;electric_massagers;final_sale;fitness_recovery:Massagers;intimate_massage;massager;personal care;personal wellness"
"Intimate Massagers","lelo-spotlight-bundle","Lelo Spotlight Bundle","Home & Kitchen","Bundle;electric_massagers;final_sale;fitness_recovery:Massagers;intimate_massage;massager;personal care;personal wellness"
"Intimate Massagers","lelo-sona-originals-purple","Lelo Sona Originals","Health & Wellness","all;clitoral;intimate;intimate_massage;new;valentines;vendor_Lelo;vendor_new"
"Intimate Massagers","soraya-2","Lelo Soraya 2 Intimate Massager","Health & Wellness","all;BF24;black_friday;CM24;free_ground_promo;gifts_for_her;intimate;intimate_massage"
"Intimate Massagers","tiani-duo-massager","Lelo Tiani Duo Intimate Massager","Health & Wellness","couples;final_sale;gift_collection:Gifts for Her;gifts_for_her;intimate;intimate_massage;vendor_Lelo"
"Intimate Massagers","lelo-the-magic-touch-bundle","Lelo The Magic Touch Bundle","Health & Wellness","Bundle;electric_massagers;final_sale;fitness_recovery:Massagers;intimate_massage;massager;personal care;personal wellness"
"Intimate Massagers","tor-2","Lelo TOR 2 Intimate Massager","Health & Wellness","all;couples massage;final_sale;free_ground_promo;gifts_for_him;intimate;intimate_massage;vendor_Lelo"
"Intimate Massagers","lelo-yva-luxury-intimate-massager","Lelo YVA Luxury Intimate Massager","Health & Wellness","anal vibrator;gold;intimate;intimate massager;intimate_collection;intimate_massage;massage_collection:Intimate"
"Intimate Massagers","lili-app-controlled-egg-vibrator","Lili APP-Controlled Egg Intimate Massager","Health & Wellness","intimate;intimate_massage;massage_collection:Intimate;smarttag_collection_new_arrivals;smarttag_promo_eligible;smarttag_regular_price;valentines"
"Intimate Massagers","magic-wand-mini-massager-by-luvu-brands","Magic Wand Mini Intimate Massager","Health & Wellness","adult;all;best_sellers;gifts;gifts_for_her;intimate;intimate_massage;valentines"
"Intimate Massagers","magic-wand-rechargeable-vibrator-1","Magic Wand Rechargeable Intimate Massager","Health & Wellness","final_sale;intimate;intimate_collection;intimate_massage;massage_collection:Intimate;no-returns;no_returns;valentines"
"Intimate Massagers","magic-wand-original-vibrator-1","Magic Wand Original Intimate Massager","Health & Wellness","final_sale;intimate;intimate_collection;intimate_massage;massage_collection:Intimate;no-returns;no_returns;valentines"
"Intimate Massagers","magic-wand-waterproof-cordless-vibrator","Magic Wand Waterproof Intimate Massager","Health & Wellness","final_sale;intimate massager;intimate_massage;massage_collection:Intimate;no-returns;pfs:label-Final Sale;smarttag_promo_eligible;valentines"
"Intimate Massagers","melody-pressure-sensing-app-controlled-twin-balls-clit-g-spot-vibrator","Melody Pressure Sensing App-Controlled Twin Balls Intimate Massager","Health & Wellness","intimate;intimate_massage;massage_collection:Intimate;smarttag_collection_new_arrivals;smarttag_promo_eligible;smarttag_regular_price;valentines"
"Intimate Massagers","oly-2-pressure-sensing-app-enabled-wearable-clit-g-spot-vibrator","OLY 2 Pressure Sensing APP-Enabled Wearable Intimate Massager","Health & Wellness","intimate;intimate_massage;massage_collection:Intimate;smarttag_collection_new_arrivals;smarttag_promo_eligible;smarttag_regular_price;valentines"
"Intimate Massagers","osuga-c-tail-vibe-waterproof-360-rotation-wearable-by-luvu-brands","Osuga C Tail Vibe Waterproof / 360 Rotation Wearable","Apparel & Accessories","final_sale;intimate;intimate_collection;intimate_massage;massage_collection:Intimate;no-returns;no_returns;valentines"
