"product_title","handle","status","launch_tag","workstream","resolution_class","variant_count","quote_rows","blank_canada_quotes","blank_us_quotes","decision","next_action","audit_date"
"Precision Nail Clippers","large-opening-nail-clippers-gray-nail-trimmer-thick-nails-for-the-elderly-individual-household-nail-clippers-durable","ACTIVE","yes","A3_US_MARKET_EXCLUDED","RESOLVED_CANADA_ACTIVE_US_EXCLUDED","2","2","0","0","US_QUOTE_COMPLETE_US_EXCLUDED","Replace or separate the failing supplier variant before restoring this product to the US catalog.","2026-07-26"
"Everyday Fleece Joggers","hot-sales-mens-sweatpants-printing-casual-pants-outdoor-gym-sports-jogging-pants-autumn-winter-man-trousers-fitness-sportswear","ACTIVE","yes","A3_US_MARKET_EXCLUDED","RESOLVED_CANADA_ACTIVE_US_EXCLUDED","21","21","0","0","US_QUOTE_COMPLETE_US_EXCLUDED","Replace or separate the failing supplier variant before restoring this product to the US catalog.","2026-07-26"
"Multi-Use Organizer Hooks","2pcs-leather-cart-hooks-baby-stroller-hook-pu-adjustable-pram-hook-organizer-diaper-bag-hanger-children-travel-accessories","ACTIVE","yes","A3_US_MARKET_EXCLUDED","RESOLVED_CANADA_ACTIVE_US_EXCLUDED","4","4","0","0","US_QUOTE_COMPLETE_US_EXCLUDED","Replace or separate the failing supplier variant before restoring this product to the US catalog.","2026-07-26"
"Everyday Zip Hoodie","zipper-hoodies-autumn-winter-mens-new-long-sleeve-hooded-sweatshirt-fashion-casual-male-outfit-sportwear-loose-fit-clothes","ACTIVE","yes","A3_US_MARKET_EXCLUDED","RESOLVED_CANADA_ACTIVE_US_EXCLUDED","18","18","0","0","US_QUOTE_COMPLETE_US_EXCLUDED","Replace or separate the failing supplier variant before restoring this product to the US catalog.","2026-07-26"
"Travel Pet Water Bottle","travel-pet-water-bottle","ACTIVE","yes","D2_US_PRICE_PASSES_MARKET_BLOCKED","BLOCKED_MANAGED_MARKETS","3","3","0","0","US_PRICE_AND_SHIPPING_PASS_MARKET_ACTIVATION_BLOCKED","Resolve the Managed Markets/storefront availability blocker, then verify live US product visibility and checkout delivery.","2026-07-26"
"Everyday Carabiner Clip Set","4pcs-metal-carabiner-clip-keychain-hook-holder-key-ring-organizer-for-car-keys-daily-storage","ACTIVE","yes","D2_US_PRICE_PASSES_MARKET_BLOCKED","BLOCKED_MANAGED_MARKETS","2","2","0","0","US_PRICE_AND_SHIPPING_PASS_MARKET_ACTIVATION_BLOCKED","Resolve the Managed Markets/storefront availability blocker, then verify live US product visibility and checkout delivery.","2026-07-26"
"Car Sun Visor Organizer","sun-visor-organizer-clip","ACTIVE","yes","D2_US_PRICE_PASSES_MARKET_BLOCKED","BLOCKED_MANAGED_MARKETS","3","3","0","0","US_PRICE_AND_SHIPPING_PASS_MARKET_ACTIVATION_BLOCKED","Resolve the Managed Markets/storefront availability blocker, then verify live US product visibility and checkout delivery.","2026-07-26"
"Men's Cotton-Linen Wide-Leg Pants","2025-summer-mens-cotton-and-linen-oversized-wide-leg-pants-mens-artistic-style-elastic-waist-solid-color-casual-loose-pants","ACTIVE","yes","D2_US_PRICE_PASSES_MARKET_BLOCKED","BLOCKED_MANAGED_MARKETS","100","100","0","0","US_PRICE_AND_SHIPPING_PASS_MARKET_ACTIVATION_BLOCKED","Resolve the Managed Markets/storefront availability blocker, then verify live US product visibility and checkout delivery.","2026-07-26"
"Adjustable Rhinestone Ring","minimalist-acrylic-rhinestone-open-ring-for-women-korean-fashion-geometry-adjustable-knuckle-ring-party-jewelry-lady-gifts","ACTIVE","yes","D2_US_PRICE_PASSES_MARKET_BLOCKED","BLOCKED_MANAGED_MARKETS","2","2","0","0","US_PRICE_AND_SHIPPING_PASS_MARKET_ACTIVATION_BLOCKED","Resolve the Managed Markets/storefront availability blocker, then verify live US product visibility and checkout delivery.","2026-07-26"
"Everyday Performance Shorts","clearance_summer-running-shorts-for-men-casual-jogging-sport-short-pants-wave-pattern-solid-color-drawstring-loose-dry-gym-sport","ACTIVE","yes","D2_US_PRICE_PASSES_MARKET_BLOCKED","BLOCKED_MANAGED_MARKETS","21","21","0","0","US_PRICE_AND_SHIPPING_PASS_MARKET_ACTIVATION_BLOCKED","Resolve the Managed Markets/storefront availability blocker, then verify live US product visibility and checkout delivery.","2026-07-26"
